Sentence,Rough_POS,Detailed_POS,Lemmatized_Sentence
"Sinusuportahan ito ng isang artikulong sinulat ni Robinson (1974) kung saan sinasabi nito na kahit na isama pa ang lahat ng salik, ang boto ng publiko ay nakadepende sa inilalabas ng mga pahayagan.",VB.* PR.* CC.* PR.*_CC.* NN.*_CC.* VB.* DT.* NN.* NN.* CD.* NN.* RB.* RB.* VB.* PR.* CC.* CC.* CC.* VB.* RB.* DT.* PR.* CC.* NN.* PM.* DT.* NN.* CC.* NN.* LM VB.* CC.* VB.* CC.* DT.* NN.* PM.*,VBTR PRO CCB PRI_CCP NNC_CCP VBOF DTP NNP NNP CDB NNPA RBK RBQ VBTR PRO CCP CCT CCP VBOF RBI DTC PRI CCB NNC PMC DTC NNC CCB NNC LM VBTS CCT VBTR CCB DTCP NNC PMP,"suporta ito ng isa artikulong sulat ni robinson (1974) kung saan sabi nito na kahit na sama pa ang lahat ng salik, ang boto ng publiko ay depende sa labas ng mga pahayagan.",
"Kaya kung titignaan, parehong may kakayahan ang politika at midya na diktahan ang mangyayari sa isa’t isa.",CC.* CC.* NN.* PM.* JJ.*_CC.* VB.* NN.* DT.* NN.* CC.* NN.* CC.* VB.* DT.* VB.* CC.* PR.* PM.* NN.* PR.* PM.*,CCR CCR NNC PMC JJC_CCP VBH NNC DTC NNC CCA NNC CCP VBOF DTC VBTF CCT PRI PMS NNCA PRI PMP,"kaya kung titignaan, pareho may kaya ang politika at midya na dikta ang mangyayari sa isa’t isa.",
Maaring gamitin ng mga partido o ng gobyerno mismo ang midya sa kanilang kapakinabangan.,RB.* VB.* CC.* DT.* NN.* CC.* CC.* NN.* RB.* DT.* NN.* CC.* PR.*_CC.* NN.* PM.*,RBM VBOF CCB DTCP NNC CCT CCB NNC RBT DTC NNC CCT PRSP_CCP NNC PMP,ari gamit ng mga partido o ng gobyerno mismo ang midya sa kanila kapakinabangan.,
Ang midya ay maari ding tawagin bilang kingmaker sa kakayahan nitong ilagay ang isa sa posisyon ng pagkapinuno at kontrolin ang daloy ng lipunan kung gustuhin man nito.,DT.* NN.* LM VB.* RB.*_CC.* VB.* CC.* FW CC.* NN.* PR.*_CC.* VB.* DT.* PR.* CC.* NN.* CC.* VB.* CC.* VB.* DT.* NN.* CC.* NN.* CC.* VB.* RB.* PR.* PM.*,DTC NNC LM VBS RBI_CCP VBOF CCT FW CCT NNC PRO_CCP VBOF DTC PRI CCT NNC CCB VBW CCA VBOF DTC NNC CCB NNC CCR VBOF RBI PRO PMP,ang midya ay ari ding tawag bilang kingmaker sa kaya nito lagay ang isa sa posisyon ng puno at kontrol ang daloy ng lipunan kung gustuhin man nito.,
"Kaya layunin ng mga mananaliksik na alamin ang relasyon ng midya sa sitwasyong sosyopolitikal ng Pilipinas, mas lalo na’t palapit nanaman ang eleksiyon.",CC.* NN.* CC.* DT.* NN.* CC.* VB.* DT.* NN.* CC.* NN.* CC.* NN.*_CC.* JJ.* CC.* NN.* PM.* JJ.* JJ.* CC.* PM.* NN.* JJ.* VB.* DT.* NN.* PM.*,CCR NNC CCB DTCP NNC CCP VBOF DTC NNC CCB NNC CCT NNC_CCP JJD CCB NNP PMC JJCC JJCC CCP PMS NNCA JJD VBTS DTC NNC PMP,"kaya layunin ng mga mananaliksik na alam ang relasyon ng midya sa sitwasyong sosyopolitikal ng pilipinas, mas lalo na’t lapit naman ang eleksiyon.",
"Maliban dito, nilalayon ng mga mananaliksik na alamin kung paano ang naging takbo ng relasyon ng dalawang ito sa pagdaan ng mga panahon simula noong umusbong ang industriya ng telebisyon at pahayagan pagkatapos ng adminstrasyong Marcos.",CC.* PR.* PM.* VB.* CC.* DT.* NN.* CC.* VB.* RB.* RB.* DT.* VB.* NN.* CC.* NN.* CC.* JJ.*_CC.* PR.* CC.* NN.* CC.* DT.* NN.* RB.* RB.*_CC.* VB.* DT.* NN.* CC.* NN.* CC.* NN.* VB.* CC.* NN.*_CC.* NN.* PM.*,CCT PRL PMC VBTR CCB DTCP NNC CCP VBOF RBK RBQ DTC VBTS NNC CCB NNC CCB JJN_CCP PRO CCT NNC CCB DTCP NNC RBW RBW_CCP VBAF DTC NNC CCB NNC CCA NNC VBW CCB NNC_CCP NNP PMP,"liban dito, layon ng mga mananaliksik na alam kung paano ang naging takbo ng relasyon ng dalawa ito sa daan ng mga panahon simula noo usbong ang industriya ng telebisyon at hayag tapos ng adminstrasyong marcos.",
Ito ay ang pagkakakilanlan ng isang bansa– ang mga aspeto na bumubuo sa pagiging sarili nito.,PR.* LM DT.* NN.* CC.* PR.*_CC.* NN.* PM.* DT.* DT.* NN.* CC.* VB.*_VB.* CC.* VB.* NN.* PR.* PM.*,PRO LM DTC NNC CCB PRI_CCP NNC PMS DTC DTCP NNC CCP VBTR_VBAF CCT VBTR NNC PRO PMP,ito ay ang pagkakakilanlan ng isa bansa– ang mga aspeto na bumubuo sa pagiging sarili nito.,
"Kasama na rito ang ating kultura, tradisyon, etnikong kaisipan, lokal na mga kayamanan, at pati na rin ang sarili nating wika.",CC.* RB.* PR.* DT.* PR.*_CC.* NN.* PM.* NN.* PM.* JJ.*_CC.* NN.* PM.* JJ.* CC.* DT.* NN.* PM.* CC.* CC.* RB.* RB.* DT.* NN.* PR.*_CC.* NN.* PM.*,CCB RBI PRL DTC PRSP_CCP NNC PMC NNC PMC JJD_CCP NNC PMC JJD CCP DTCP NNC PMC CCA CCA RBI RBI DTC NNC PRP_CCP NNC PMP,"kasama na rito ang ati kultura, tradisyon, etniko kaisipan, lokal na mga kayamanan, at pati na rin ang sarili ting wika.",
"Isa sa kasalukuyang kalinangan na makikita nating naisasantabi ay ang ating wika at kung paanong mas pinapahalagahan ang wikang Ingles, hindi dahil sa mas superyor ito ngunit dahil sa pangangailangan at kung paanong naitatag na sa sistema natin ang paggamit ng Ingles tulad ng ating batas, ekonomiya, edukasyon, at iba pa.",PR.* CC.* RB.*_CC.* NN.* CC.* VB.* PR.*_CC.* VB.* LM DT.* PR.*_CC.* NN.* CC.* CC.* NN.*_CC.* JJ.* VB.* DT.* NN.*_CC.* NN.* PM.* RB.* CC.* CC.* JJ.* JJ.* PR.* CC.* CC.* CC.* NN.* CC.* CC.* RB.*_CC.* VB.* CC.* CC.* NN.* PR.* DT.* NN.* CC.* NN.* JJ.* CC.* PR.*_CC.* NN.* PM.* NN.* PM.* NN.* PM.* CC.* PR.* RB.* PM.*,PRI CCT RBW_CCP NNC CCP VBTF PRP_CCP VBTR LM DTC PRSP_CCP NNC CCA CCR NNC_CCP JJCC VBTR DTC NNC_CCP NNP PMC RBF CCR CCT JJCC JJD PRO CCT CCR CCT NNC CCA CCR RBD_CCP VBTS CCP CCT NNC PRP DTC NNC CCB NNP JJC CCB PRSP_CCP NNC PMC NNC PMC NNC PMC CCA PRI RBI PMP,"isa sa kasalukuyang linang na kita ting naisasantabi ay ang ati wika at kung paano mas halaga ang wika ingles, hindi dahil sa mas superyor ito ngunit dahil sa pangangailangan at kung paano tatag na sa sistema natin ang gamit ng ingles tulad ng ati batas, ekonomiya, edukasyon, at iba pa.",
Ito ay produkto ng pagsisinop ng mga karansan ng bayan.,PR.* LM NN.* CC.* NN.* CC.* DT.* NN.* CC.* NN.* PM.*,PRO LM NNC CCB NNC CCB DTCP NNC CCB NNC PMP,ito ay produkto ng sinop ng mga karansan ng bayan.,
Ito ay makukuha sa pamamgitan ng paggabay ng Filipinolohiya sa sistemang edukasyon upang masinop at maproseso ng tama ang mga karanasan ng bayan.,PR.* LM VB.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.*_CC.* NN.* CC.* VB.* CC.* VB.* CC.* JJ.* DT.* DT.* NN.* CC.* NN.* PM.*,PRO LM VBTF CCT NNC CCB NNC CCB NNP CCT NNC_CCP NNC CCB VBW CCA VBW CCB JJD DTC DTCP NNC CCB NNC PMP,ito ay kuha sa pamamgitan ng gabay ng filipinolohiya sa sistema edukasyon upang sinop at proseso ng tama ang mga karanasan ng bayan.,
Itong talinong ito ay magagamit upang mapaunlad at masapatan ang pambansang pangangailangan dahil sa pagpapahalaga sa kasasayan at karansan ng bayan.,PR.*_CC.* NN.*_CC.* PR.* LM VB.* CC.* VB.* CC.* VB.* DT.* JJ.*_CC.* NN.* CC.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* PM.*,PRO_CCP NNC_CCP PRO LM VBTF CCB VBW CCA VBW DTC JJD_CCP NNC CCR CCT NNC CCT NNC CCA NNC CCB NNC PMP,ito talino ito ay magagamit upang unlad at sapat ang pambansang pangangailangan dahil sa halaga sa say at karansan ng bayan.,
Ito ay produkto ng pag-aaral ng sikolohiya ng mga Filipino dahil sa hindi angkop na teorya ng mga kanluranin na nagresulta sa mga hindi angkop na tala sa paraan ng pag-iisip ng mga Filipino.,PR.* LM NN.* CC.* CC.* PM.* NN.* CC.* NN.* CC.* DT.* NN.* CC.* CC.* RB.* JJ.* CC.* NN.* CC.* DT.* NN.* CC.* VB.* CC.* DT.* RB.* JJ.* CC.* NN.* CC.* NN.* CC.* CC.* PM.* VB.* CC.* DT.* NN.* PM.*,PRO LM NNC CCB CCR PMS NNC CCB NNC CCB DTCP NNP CCR CCT RBF JJD CCP NNC CCB DTCP NNC CCP VBTS CCT DTCP RBF JJD CCP NNC CCT NNC CCB CCR PMS VBTF CCB DTCP NNP PMP,ito ay produkto ng pag-aaral ng sikolohiya ng mga filipino dahil sa hindi angkop na teorya ng mga kanluran na resulta sa mga hindi angkop na tala sa paraan ng isip ng mga filipino.,
"Ito ay ipinakilala ni Virgilio G. Enriquez na tinatawag na ‘Ama ng Sikolohiyang Pilipino.’ Ito ay nakabase sa karanasan, kamalayan at oryentasyon at ito rin ay isang pag-aaral ng diwa.",PR.* LM VB.* DT.* NN.* NN.* NN.* CC.* VB.* CC.* PM.* NN.* CC.* NN.*_CC.* NN.* PM.* PM.* PR.* LM VB.* CC.* NN.* PM.* NN.* CC.* NN.* CC.* PR.* RB.* LM PR.*_CC.* CC.* PM.* NN.* CC.* NN.* PM.*,PRO LM VBTS DTP NNP NNPA NNP CCP VBTR CCP PMS NNP CCB NNP_CCP NNP PMP PMS PRO LM VBTS CCT NNC PMC NNC CCA NNC CCA PRO RBI LM PRI_CCP CCR PMS NNC CCB NNC PMP,"ito ay kilala ni virgilio g. enriquez na tawag na ‘ama ng sikolohiya pilipino.’ ito ay base sa karanasan, malay at oryentasyon at ito rin ay isa pag-aaral ng diwa.",
"Katulad ng ibang perspektibo, nilalalayon nito na magkaroon ng dekoloniyason ng mga kamalayan ng Filipino.",JJ.* CC.* PR.*_CC.* NN.* PM.* VB.* PR.* CC.* VB.* CC.* NN.* CC.* DT.* NN.* CC.* NN.* PM.*,JJC CCB PRI_CCP NNC PMC VBTR PRO CCP VBAF CCB NNC CCB DTCP NNC CCB NNP PMP,"tulad ng iba perspektibo, layon nito na roon ng dekoloniyason ng mga malay ng filipino.",
Ito ay isang pananaw o perspektibo na ipinakilala ni Dr. Zeus Salazar.,PR.* LM PR.*_CC.* NN.* CC.* NN.* CC.* VB.* DT.* NN.* NN.* NN.* PM.*,PRO LM PRI_CCP NNC CCT NNC CCP VBTS DTP NNPA NNP NNP PMP,ito ay isa pananaw o perspektibo na kilala ni dr. zeus salazar.,
"Ayon sa kaniya, ito ay isang panloob na ugnayan ng katangian, halagahin, kaalaman, karunungan, hangarin, kaugalian, pag-aasal at karanasan ng isang kabuuang pangkalinangan na ipinahahayag sa pamamgitan ng isang wika.",RB.* CC.* PR.* PM.* PR.* LM PR.*_CC.* JJ.* CC.* NN.* CC.* NN.* PM.* NN.* PM.* NN.* PM.* NN.* PM.* NN.* PM.* NN.* PM.* CC.* PM.* FW CC.* NN.* CC.* PR.*_CC.* PR.*_CC.* JJ.* CC.* VB.* CC.* NN.* CC.* PR.*_CC.* NN.* PM.*,RBR CCT PRSP PMC PRO LM PRI_CCP JJD CCP NNC CCB NNC PMC NNC PMC NNC PMC NNC PMC NNC PMC NNC PMC CCR PMS FW CCA NNC CCB PRI_CCP PRI_CCP JJD CCP VBTR CCT NNC CCB PRI_CCP NNC PMP,"ayon sa kaniya, ito ay isa panloob na ugnay ng katangian, halagahin, kaalaman, karunungan, hangarin, kaugalian, pag-aasal at karanasan ng isa kabuuang pangkalinangan na hayag sa pamamgitan ng isa wika.",
Madalas na nakikita sa mga encyclopedia na tungkol sa ating bansa na nakasulat ito sa wikang Ingles dahil sa ang pananaw ay pangkami kaysa na pantayo.,RB.* CC.* VB.* CC.* DT.* FW CC.* RB.* CC.* PR.*_CC.* NN.* CC.* VB.* PR.* CC.* NN.*_CC.* NN.* CC.* CC.* DT.* NN.* LM JJ.* JJ.* CC.* NN.* PM.*,RBD CCP VBTR CCT DTCP FW CCP RBR CCT PRSP_CCP NNC CCP VBTS PRO CCT NNC_CCP NNP CCR CCT DTC NNC LM JJD JJC CCP NNC PMP,dalas na kita sa mga encyclopedia na tungkol sa ati bansa na sulat ito sa wika ingles dahil sa ang pananaw ay pangkami kaysa na pantayo.,
Pinapakita nito ang hangarin ng mga kanluraning makita ang makukuha nila sa ating bansa at ang tingin na hindi intelehikong wika ang Filipino.,VB.* PR.* DT.* NN.* CC.* DT.* JJ.*_CC.* VB.* DT.* VB.* PR.* CC.* PR.*_CC.* NN.* CC.* DT.* NN.* CC.* RB.* JJ.*_CC.* NN.* DT.* NN.* PM.*,VBTR PRO DTC NNC CCB DTCP JJD_CCP VBW DTC VBW PRP CCT PRSP_CCP NNC CCA DTC NNC CCP RBF JJD_CCP NNC DTC NNP PMP,kita nito ang hangarin ng mga kanluraning kita ang kuha nila sa ati bansa at ang tingin na hindi intelehikong wika ang filipino.,
"Sa pantayong pananaw, iniisip ang pananaw ng lahat at pagpapahalaga sa lahat ng nasa bansa kaysa sa mga banyaga, katulad na lang ng pagtuturo ng mga asignatura sa mga paaralan gamit ang wikang Filipino.",CC.* JJ.*_CC.* NN.* PM.* VB.* DT.* NN.* CC.* PR.* CC.* NN.* CC.* PR.* CC.* RB.* NN.* JJ.* CC.* DT.* NN.* PM.* JJ.* RB.* RB.* CC.* NN.* CC.* DT.* NN.* CC.* DT.* NN.* VB.* DT.* NN.*_CC.* NN.* PM.*,CCT JJD_CCP NNC PMC VBTR DTC NNC CCB PRI CCA NNC CCT PRI CCB RBL NNC JJC CCT DTCP NNC PMC JJC RBI RBI CCB NNC CCB DTCP NNC CCT DTCP NNC VBS DTC NNC_CCP NNP PMP,"sa pantayong pananaw, isip ang pananaw ng lahat at halaga sa lahat ng nasa bansa kaysa sa mga banyaga, tulad na lang ng turo ng mga asignatura sa mga paaralan gamit ang wika filipino.",
"Ito ay isang disiplinang nagmumula at kumikilala sa pambansa, panloob, pnasiriling talino at karanasan, na pinasimulan ni Dr. Prospero Covar.",PR.* LM PR.*_CC.* NN.*_CC.* VB.* CC.* VB.* CC.* JJ.* PM.* JJ.* PM.* RB.*_CC.* NN.* CC.* NN.* PM.* CC.* VB.* DT.* NN.* NN.* NN.* PM.*,PRO LM PRI_CCP NNC_CCP VBTR CCA VBTR CCT JJD PMC JJD PMC RBD_CCP NNC CCA NNC PMC CCP VBTS DTP NNPA NNP NNP PMP,"ito ay isa disiplina mula at kilala sa pambansa, panloob, pnasiriling talino at karanasan, na pinasimulan ni dr. prospero covar.",
Nakatuon ito sa paglikha at pagbalangkas ng kaalaman na galling sa loob ng bansa at taliwas sa pagtingin ng mga kanluraning bansa.,VB.* PR.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* NN.* CC.* JJ.* CC.* NN.* CC.* DT.* JJ.*_CC.* NN.* PM.*,VBTS PRO CCT NNC CCA NNC CCB NNC CCP NNC CCT NNC CCB NNC CCA JJD CCT NNC CCB DTCP JJD_CCP NNC PMP,tuon ito sa likha at balangkas ng alam na galling sa loob ng bansa at taliwas sa ting ng mga kanluraning bansa.,
Tinatanggal dito ang kolonyal na kamalayan at naghahahain ng daan sa pagkilala at pag-unawa ng bansa,VB.* PR.* DT.* JJ.* CC.* NN.* CC.* VB.* CC.* NN.* CC.* NN.* CC.* CC.* PM.* NN.* CC.* NN.*,VBTR PRL DTC JJD CCP NNC CCA VBTR CCB NNC CCT NNC CCA CCR PMS NNC CCB NNC,tanggal dito ang kolonyal na malay at hain ng daan sa kilala at unawa ng bansa,
Ito ay tumutukoy sa pagunlad na patungo sa benipisyo o kapakinabangan ng karamihan at di lamang ng sariling interes at ng kakaunti.,PR.* LM VB.*_VB.* CC.* NN.* CC.* RB.* CC.* NN.* CC.* NN.* CC.* PR.* CC.* RB.* RB.* CC.* JJ.*_CC.* NN.* CC.* CC.* JJ.* PM.*,PRO LM VBTR_VBAF CCT NNC CCP RBL CCT NNC CCT NNC CCB PRI CCA RBF RBI CCB JJD_CCP NNC CCA CCB JJD PMP,ito ay tukoy sa unlad na tungo sa benipisyo o pakinabang ng rami at di lamang ng sarili interes at ng kakaunti.,
